useridentifier,;Name,;Store Number,;Phone Number,;Street Combined,;Street 1,;City,;Country Subdivision,;Country,;Postal Code,;Coordinates,;Latitude,;Longitude,
5120,;Berjaya Times Square 1,;33938-93481,;03-21100221,;Berjaya Times Square No.1 Jalan Imbi Lot No. G-09A Ground Floor,;Berjaya Times Square No.1 Jalan Imbi,;Kuala Lumpur,;14,;MY,;55100,;(3.1426420211792 101.710395812988),;3.142642021179199,;101.71039581298828,
5121,;Bukit Indah,;1915-139106,;07-2370408,;No. 8 Jalan Indah 15/2 Bukit Indah Lot G08 Ground Floor,;No. 8 Jalan Indah 15/2 Bukit Indah,;Johor Bahru,;1,;MY,;81200,;(1.48118197917938 103.655746459961),;1.481181979179382,;103.65574645996094,
5122,;The Zone,;1923-137105,;07-2241702,;88 Jalan Ibrahim Sutan Stulang Laut Level 1,;88 Jalan Ibrahim Sutan Stulang Laut,;Johor Bahru,;1,;MY,;80300,;(1.47228503227234 103.782897949219),;1.472285032272339,;103.78289794921875,
5123,;Subang Skypark,;1922-139704,;03-78469143,;Jalan Lapangan Terbang Lot G12 & G13 Terminal 3,;Jalan Lapangan Terbang,;Subang Jaya,;10,;MY,;47200,;(3.13536810874939 101.546768188477),;3.13536810874939,;101.54676818847656,
5124,;Tropicana Mall,;1916-136272,;03-77318667,;No. 3 Jalan SS20/27 Lot G-01 Ground Floor,;No. 3 Jalan SS20/27,;Petaling Jaya,;10,;MY,;47400,;(3.13095092773438 101.626770019531),;3.130950927734375,;101.62677001953125,
5128,;Aeon AU2,;1910-139105,;03-42661885,;No. 3 Jalan 37/56 Taman setiawangsa AU2 Bandar Baru Ampang Lot G48 AEON AU2,;No. 3 Jalan 37/56 Taman setiawangsa,;Kuala Lumpur,;14,;MY,;54200,;(3.17812895774841 101.750022888184),;3.178128957748413,;101.75002288818359,
5129,;Miri Airport,;1899-139886,;085-616450,;Lot No GL14 Public Concourse Ground Level,;Lot No GL14 Public Concourse,;Miri,;13,;MY,;98000,;(4.33121395111084 113.98511505127),;4.33121395111084,;113.98511505126953,
5131,;Uptown 2,;31557-108240,;03-77314665,;No.51G & 51A Jalan SS21/37,;No.51G & 51A Jalan SS21/37,;Petaling Jaya,;10,;MY,;47400,;(3.13366293907166 101.621505737305),;3.133662939071655,;101.62150573730469,
5133,;Bintang Plaza Miri,;32762-137815,;085-435650,;Jalan Bintang Lot G47 & G39A Ground Floor,;Jalan Bintang,;Miri,;13,;MY,;98000,;(4.39736986160278 113.993453979492),;4.397369861602783,;113.99345397949219,
5136,;Jusco Cheras Selatan,;31426-107047,;03-90816795,;Lebuh Tun Hussein Onn Lot G31,;Lebuh Tun Hussein Onn,;Balakong,;14,;MY,;43200,;(3.03344106674194 101.764999389648),;3.033441066741943,;101.76499938964844,
5137,;Bangsar Village 2,;31519-108182,;03-22015338,;No. 2 Jalan Telawi Satu Bangsar Baru Lot No. 2F-11 & K1 2nd Floor,;No. 2 Jalan Telawi Satu Bangsar Baru,;Kuala Lumpur,;14,;MY,;59100,;(3.13043808937073 101.67138671875),;3.130438089370728,;101.67138671875,
5138,;Dataran Pahlawan,;31462-107895,;06-2815630,;Jalan Merdeka Bandar Hilir Lot BN-017 BN-030 & BN-031,;Jalan Merdeka Bandar Hilir,;Melaka,;4,;MY,;75000,;(2.19051599502563 102.250366210938),;2.190515995025635,;102.2503662109375,
5140,;Queensbay Mall,;31408-107042,;04-6411645,;100 Persiaran Bayan Indah GF-36 Ground Floor,;100 Persiaran Bayan Indah,;Bayan Lepas,;7,;MY,;11900,;(5.33414506912231 100.306648254395),;5.334145069122314,;100.30664825439453,
5141,;Sunway Medical Center,;33957-97874,;03-56323876,;No 5 Jalan Lagoon Selatan Bandar Sunway Lobby Ground Floor,;No 5 Jalan Lagoon Selatan,;Petaling Jaya,;10,;MY,;46150,;(3.06563711166382 101.601692199707),;3.065637111663818,;101.60169219970703,
5142,;Juru Auto-City,;31274-105907,;04-5020362,;Highway Auto-City Prai Industrial Estate 1821-G1,;Highway Auto-City Prai Industrial Estate,;Perai,;7,;MY,;13600,;(5.33805799484253 100.428504943848),;5.338057994842529,;100.42850494384766,
5144,;Taipan,;33933-85140,;03-80113569,;No. 41 Jalan USJ 10/1D UEP Ground Floor,;No. 41 Jalan USJ 10/1D UEP,;Subang Jaya,;10,;MY,;47620,;(3.04976296424866 101.583633422852),;3.049762964248657,;101.58363342285156,
5146,;Genting Highlands,;33917-39460,;03-61013754,;First World Hotel Level T1 Lot F/L 1.4,;First World Hotel,;Genting Highland,;6,;MY,;69000,;(3.42419195175171 101.794654846191),;3.424191951751709,;101.79465484619141,
5147,;Prangin Mall,;33919-28667,;04-2611858,;Jalan Dr  Lim Chwee Leong No. 33-G-1A,;Jalan Dr  Lim Chwee Leong,;Komtar,;7,;MY,;10100,;(3.25493001937866 101.692596435547),;3.254930019378662,;101.69259643554688,
5149,;Plaza Berjaya,;33928-80641,;03-21102858,;No. 12 Jalan Imbi Kiosk 1 Ground Floor,;No. 12 Jalan Imbi,;Kuala Lumpur,;14,;MY,;55100,;(3.1434109210968 101.709434509277),;3.143410921096802,;101.70943450927734,
5154,;IOI Mall,;33913-22102,;03-80821370,;Batu 9 Bandar Puchong Jaya Lot G00 Front Entrance Ground Floor,;Batu 9 Bandar Puchong Jaya,;Puchong,;10,;MY,;47100,;(2.9964599609375 101.621116638184),;2.9964599609375,;101.62111663818359,
5155,;Great Eastern Mall,;33927-76364,;03-42576842,;No. 303 Jalan Ampang Lot 13 & 14 Ground Floor,;No. 303 Jalan Ampang,;Kuala Lumpur,;14,;MY,;50450,;(3.16032195091248 101.700698852539),;3.160321950912476,;101.70069885253906,
5160,;Plaza Mont' Kiara,;33908-13607,;03-62112169,;No. 2 Jalan 1/70C Mont' Kiara Lot Suite B OG-01-02,;No. 2 Jalan 1/70C Mont' Kiara,;Kuala Lumpur,;14,;MY,;50480,;(3.14398407936096 101.616737365723),;3.143984079360962,;101.61673736572266,
5162,;KL Sentral,;33924-75120,;03-22746842,;KL Sentral Arrival Hall Unit 5,;KL Sentral,;Kuala Lumpur,;14,;MY,;50470,;(3.13474893569946 101.686264038086),;3.134748935699463,;101.68626403808594,
5164,;Jusco Maluri,;33916-30520,;03-92026376,;Jalan Jejaka Lot G12 Ground Floor,;Jalan Jejaka,;Cheras,;14,;MY,;55100,;(3.12562894821167 101.728416442871),;3.12562894821167,;101.72841644287109,
5165,;Kota Raya,;33912-12650,;03-20220852,;Kota Raya Complex Jalan Tun Tan Cheng Lock Kiosk G1 Sidewalk Cafe,;Kota Raya Complex Jalan Tun Tan Cheng,;Kuala Lumpur,;14,;MY,;50450,;(3.14610910415649 101.698013305664),;3.146109104156494,;101.69801330566406,
5167,;Mid Valley Megamall,;33905-12648,;03-22011223,;Mid Valley City Lot G-100 Ground Floor,;Mid Valley City,;Kuala Lumpur,;14,;MY,;58000,;(3.11739492416382 101.677787780762),;3.117394924163818,;101.67778778076172,
5169,;The Weld,;33911-22084,;03-20220262,;No. 76 Jalan Raja Chulan Lot G1,;No. 76 Jalan Raja Chulan,;Kuala Lumpur,;14,;MY,;50200,;(3.15126895904541 101.706840515137),;3.15126895904541,;101.70684051513672,
5172,;Sunway Pyramid,;33906-16256,;03-56111967,;No. 3 Jalan PJS 11/15 Bandar Sunway Lot G1.12 & 1.13 Ground Floor,;No. 3 Jalan PJS 11/15 Bandar Sunway,;Petaling Jaya,;10,;MY,;46150,;(3.07316708564758 101.60897064209),;3.073167085647583,;101.60897064208984,
5174,;Johor Bahru City Square,;33904-13360,;07-2760267,;No 106 & 108 Jalan Wong Ah Fook Lot J1-06 Level 1,;No 106 & 108 Jalan Wong Ah Fook,;Johor Bahru,;1,;MY,;80000,;(1.46262395381927 103.763412475586),;1.462623953819275,;103.76341247558594,
5175,;Jaya 1,;32282-124325,;03-73917828,;Palm Square Jaya One Section 13 Unit E-81-G Block M Ground Floor,;Palm Square Jaya One Section 13,;Petaling Jaya,;10,;MY,;46300,;(3.11795091629028 101.635795593262),;3.117950916290283,;101.63579559326172,
5176,;3 Two Square,;32291-135364,;03-79607127,;No. 2 Jalan 19/1 C-17-01 Dataran 32,;No. 2 Jalan 19/1,;Petaling Jaya,;10,;MY,;46300,;(3.10609698295593 101.644081115723),;3.106096982955933,;101.64408111572266,
5177,;The Mines,;3059-136398,;03-89586858,;Jalan Dulang Mines Resort City L2-08(P) Level 2,;Jalan Dulang Mines Resort City,;Seri Kembangan,;10,;MY,;43300,;(3.02815198898315 101.718139648438),;3.028151988983154,;101.7181396484375,
5179,;Taiping Sentral,;32703-135924,;05-8054179,;No. 36 Jalan Istana Larut Lot G-09 & G-10,;No. 36 Jalan Istana Larut,;Taiping,;8,;MY,;34000,;(4.85697412490845 100.739440917969),;4.856974124908447,;100.73944091796875,
5180,;KKIA,;32698-135946,;088-413814,;Kota Kinabalu International Airport L3A01 Level 3 Airside Terminal 1,;Kota Kinabalu International Airport,;Kota Kinabalu,;12,;MY,;88740,;(5.93060302734375 116.049613952637),;5.93060302734375,;116.04961395263672,
5181,;SS2,;32596-136403,;03-78656828,;No. 3 SS2/67 Taman Sea Ground Floor,;No. 3 SS2/67 Taman Sea,;Petaling Jaya,;10,;MY,;47300,;(3.11881804466248 101.623153686523),;3.118818044662476,;101.62315368652344,
5183,;Menara Hap Seng,;32540-136426,;03-20222858,;Jalan P. Ramlee Suite G-09 Ground Floor,;Jalan P. Ramlee,;Kuala Lumpur,;14,;MY,;50250,;(3.15333604812622 101.707138061523),;3.153336048126221,;101.70713806152344,
5184,;Cameron Highlands,;32541-135925,;05-4915648,;Lot 22 & 23 Jalan Besar Tanah Rata,;Lot 22 & 23 Jalan Besar Tanah Rata,;Cameron Highlands,;6,;MY,;39007,;(4.47091293334961 101.377990722656),;4.470912933349609,;101.37799072265625,
5185,;One Borneo 1,;32542-132944,;088-447189,;Jalan Sulaman G-832 & F-832 - Ground & First Floor,;Jalan Sulaman,;Kota Kinabalu,;12,;MY,;88000,;(6.03582000732422 116.128814697266),;6.035820007324219,;116.12881469726563,
5188,;Berjaya Time Square,;33961-98564,;03-21100386,;No 1 Jalan Imbi Lot No. 01-01-28 1st Avenue 1st Floor,;No 1 Jalan Imbi,;Kuala Lumpur,;14,;MY,;55100,;(3.14244508743286 101.710327148438),;3.142445087432861,;101.7103271484375,
5189,;Cheras Leisure Mal,;33960-98399,;03-91336191,;Jalan Manis 6 Taman Segar Lot L2-25 Level 2,;Jalan Manis 6 Taman Segar,;Kuala Lumpur,;14,;MY,;56100,;(3.0909960269928 101.742408752441),;3.090996026992798,;101.74240875244141,
5190,;Plaza Damas,;33959-98940,;328569024,;Jalan Sri Hartamas 1 Sri Hartamas Lot P7-A Ground Floor,;Jalan Sri Hartamas 1 Sri Hartamas,;Kuala Lumpur,;14,;MY,;50480,;(3.16382002830505 101.656715393066),;3.163820028305054,;101.65671539306641,
5192,;Megamall Kuantan,;33949-95052,;09-5134489,;Jalan Tun Ismail Sri Dagangan G-15 Ground floor,;Jalan Tun Ismail Sri Dagangan,;Kuantan,;6,;MY,;25000,;(3.81438708305359 103.327293395996),;3.814387083053589,;103.32729339599609,
5193,;Giant Kelana Jaya,;33947-94257,;03-78806842,;No. 33 Jalan SS6/12 Kelana Jaya Lot G29 & G30,;No. 33 Jalan SS6/12 Kelana Jaya,;Petaling Jaya,;10,;MY,;47301,;(3.10464906692505 101.597717285156),;3.104649066925049,;101.59771728515625,
5194,;Kuala Lumpur,;33962-99772,;03-21812213,;Kuala Lumpur Convention Centre Lot C09 Concourse Floor,;Kuala Lumpur Convention Centre,;Kuala Lumpur,;14,;MY,;50088,;(3.15408992767334 101.713264465332),;3.15408992767334,;101.71326446533203,
5196,;E- Gate Penang,;30674-100081,;04-6597502,;Lebuh Tengku Kudin 2 Gelugor Lot 1-01-17,;Lebuh Tengku Kudin 2 Gelugor,;Penang,;7,;MY,;11700,;(5.37689590454102 100.315612792969),;5.376895904541016,;100.31561279296875,
5197,;Borders The Curve,;30792-101570,;03-77318665,;Jalan PJU 7/3 Mutiara Damansara Lot G16 Ground Floor The Walk,;Jalan PJU 7/3 Mutiara Damansara,;Petaling Jaya,;10,;MY,;47800,;(3.15724492073059 101.611770629883),;3.157244920730591,;101.61177062988281,
5198,;SS15. Subang Jaya,;30879-101157,;03-56115596,;No.79 Jalan SS15/8A Ground Floor,;No.79 Jalan SS15/8A,;Subang Jaya,;10,;MY,;47500,;(3.07439398765564 101.590545654297),;3.07439398765564,;101.59054565429688,
5199,;AEON Tebrau,;30897-102820,;07-3556049,;No.1 Jl Desa Tebrau Taman Desa Tebrau Lot G17,;No.1 Jl Desa Tebrau Taman Desa Tebrau,;Johor Bahru,;1,;MY,;81100,;(1.55001294612885 103.796783447266),;1.550012946128845,;103.79678344726563,
5200,;Langkawi International Airport,;31809-117007,;04-9557780,;Langkawi International Airport Lot No. C2 Public Concourse,;Langkawi International Airport,;Langkawi,;2,;MY,;7000,;(6.34239482879639 99.7316513061523),;6.342394828796387,;99.731651306152344,
5201,;Pearl Point,;31753-110087,;03-79722838,;Batu 5 Jalan Kelang Lama Lot No. 1.0.26 Ground Floor,;Batu 5 Jalan Kelang Lama,;Kuala Lumpur,;14,;MY,;58000,;(3.08540105819702 101.67350769043),;3.085401058197022,;101.67350769042969,
5203,;Precint 88,;3082-137817,;082-367913,;Precint 88 Jalan Song Unit G1 & F1 Ground & First Floor,;Precint 88 Jalan Song,;Kuching,;13,;MY,;93350,;(1.51919102668762 110.360176086426),;1.519191026687622,;110.36017608642578,
5204,;KLIA,;33954-145784,;03-87873509,;Lot 17(A)-(B) & 18 Satellite Building Mezzanine level,;Lot 17(A)-(B) & 18 Satellite Building,;Sepang,;10,;MY,;64000,;(2.74797201156616 101.713645935059),;2.747972011566162,;101.71364593505859,
5205,;Sunway Carnival,;31797-114990,;04-3982885,;3068 Jalan Todak Pusat bandar Seberang UG-27 Upper Ground Floor,;3068 Jalan Todak Pusat bandar Seberang,;Penang,;7,;MY,;13700,;(5.39904880523682 100.397735595703),;5.399048805236816,;100.39773559570313,
5206,;Metro Point Kajang,;31777-115328,;03-87368727,;Seksyen 7 Bandar Kajang Lot G19 & G30,;Seksyen 7 Bandar Kajang,;Ulu Langat,;10,;MY,;43000,;(2.99186706542969 101.794624328613),;2.991867065429688,;101.79462432861328,
5207,;Centrepoint KK,;31341-106381,;088-258180,;No. 1 Jalan Centre Point Lot No. P37 4th Floor,;No. 1 Jalan Centre Point,;Kota Kinabalu,;12,;MY,;88000,;(5.97291898727417 116.067680358887),;5.97291898727417,;116.06768035888672,
5208,;Warisan Square KK,;31342-106289,;088-447062,;Jalan Fuad Stephen Lot No. 8 Ground & 1st Floor Block C,;Jalan Fuad Stephen,;Kota Kinabalu,;12,;MY,;88000,;(5.97913599014282 116.070785522461),;5.979135990142822,;116.07078552246094,
5209,;City Mall KK,;31754-109644,;088-484275,;Jalan Lintas Luyang Lot No. 4 Ground Floor,;Jalan Lintas Luyang,;Kota Kinabalu,;12,;MY,;88300,;(5.96125888824463 116.097328186035),;5.961258888244629,;116.09732818603516,
5210,;Langkawi Jetty Point,;31076-104740,;04-9665309,;Jetty Kuah Lot 15 & 16 Zone 2,;Jetty Kuah,;Langkawi,;2,;MY,;7000,;(6.30652809143066 99.8518753051758),;6.306528091430664,;99.851875305175781,
5211,;Ipoh Parade,;31111-105258,;05-2412180,;105 Jalan Sultan Abdul Jalil Lot G25 Ground Floor,;105 Jalan Sultan Abdul Jalil,;Ipoh,;8,;MY,;30450,;(4.59767293930054 101.090103149414),;4.597672939300537,;101.09010314941406,
5212,;Centro Klang,;31637-110064,;03-33587305,;No. 8 Jalan Batu 3 Lot G135 Ground Floor,;No. 8 Jalan Batu 3,;Klang,;10,;MY,;41300,;(3.05315208435059 101.463020324707),;3.053152084350586,;101.46302032470703,
5213,;Kuching International Airport,;31798-111244,;082-625919,;Jalan Lapangan Terbang Lot L2L 08 & 09 Level 3 Public Concours,;Jalan Lapangan Terbang,;Kuching,;13,;MY,;93722,;(1.48767697811127 110.341842651367),;1.487676978111267,;110.34184265136719,
5215,;AEON Bukit Tinggi,;32114-114994,;033318 1264,;No1 Persiaran Batu Nilam 1/KS6 bandar Aeon Bukit Tinggi Shopping Centre,;No1 Persiaran Batu Nilam 1/KS6 bandar,;Klang,;10,;MY,;41200,;(2.99494695663452 101.444244384766),;2.994946956634522,;101.44424438476563,
5216,;Sunway Pyramid 2,;31982-114991,;03-56310613,;No. 1 Jalan PJS 11/15 Bandar Sunway Lot LG1.110 Lower Ground,;No. 1 Jalan PJS 11/15 Bandar Sunway,;Petaling Jaya,;10,;MY,;46150,;(3.06959295272827 101.601600646973),;3.069592952728272,;101.60160064697266,
5217,;The Gardens Mid Valley,;31981-114992,;032283 3744,;No. 1 Medan Syed Putra Utara Lot S-226B Second Floor,;No. 1 Medan Syed Putra Utara,;Kuala Lumpur,;14,;MY,;59200,;(3.11723494529724 101.677955627441),;3.117234945297241,;101.67795562744141,
5218,;Pavillion Kuala Lumpur,;31956-114989,;03-21100378,;168 Jalan Bukit Bintang Lot C 3.08.00 & C3.09.00 Level 3,;168 Jalan Bukit Bintang,;Kuala Lumpur,;14,;MY,;55100,;(3.14826107025146 101.71329498291),;3.148261070251465,;101.71329498291016,
5219,;Pavilion 2,;31955-124344,;03-21100258,;168 Jalan Bukit Bintang Lot No. 6.02.00 Level 6,;168 Jalan Bukit Bintang,;Kuala Lumpur,;14,;MY,;55100,;(3.1500289440155 101.712821960449),;3.150028944015503,;101.71282196044922,
5220,;Parkson Sungei Wang Plaza,;32169-129284,;03-21101858,;No. 769 Jalan Bukit Bintang C27 Concourse Level,;No. 769 Jalan Bukit Bintang,;Kuala Lumpur,;14,;MY,;55100,;(3.14873790740967 101.714942932129),;3.148737907409668,;101.71494293212891,
5221,;Lagenda Village Mall,;32071-123025,;04-4229645,;Jalan Lagenda 1 Lagenda Heights Lot G-9 G-15 G-16 Ground Floor,;Jalan Lagenda 1 Lagenda Heights,;Sungai Petani,;2,;MY,;8000,;(5.66013288497925 100.501655578613),;5.660132884979248,;100.50165557861328,
5222,;Kota Damansara,;32072-123084,;03-61513226,;Jalan PJU 5/11 Dataran Sunway No.1 Ground Floor,;Jalan PJU 5/11 Dataran Sunway,;Petaling Jaya,;10,;MY,;47810,;(3.15278291702271 101.593559265137),;3.152782917022705,;101.59355926513672,
5224,;Borders the Gardens,;32160-126464,;03-22013778,;The  Gardens Mid Valley Lot T-216-B 3rd Floor,;The  Gardens Mid Valley,;Kuala Lumpur,;14,;MY,;59200,;(3.11924004554749 101.676208496094),;3.119240045547485,;101.67620849609375,
5226,;Starbucks The Spring,;32256-108271,;082-247687,;Lot 7196 Section 64 Kuching Town Land Lot G10 First Floor,;Lot 7196 Section 64 Kuching Town Land,;Kuching,;13,;MY,;93350,;(1.53596794605255 110.357078552246),;1.535967946052551,;110.35707855224609,
5227,;New World Park,;32115-124324,;04-2274284,;No. 102 Jalan Burma Lot K-1 Ground Floor,;No. 102 Jalan Burma,;Penang,;7,;MY,;10050,;(5.41963195800781 100.32666015625),;5.419631958007812,;100.32666015625,
18928,;Empire Gallery Subang,;3086-139708,;03-56313302,;Jalan SS16/1 G28,;Jalan SS16/1,;Subang Jaya,;10,;MY,;47500,;(3.08093905448914 101.580986022949),;3.080939054489136,;101.58098602294922,
19060,;Setia Alam D/T,;3075-136445,;03-33414623,;Lot No.4 Persiaran Setia Impain Bandar Setia Alam Seksyen U 13,;Lot No.4 Persiaran Setia Impain,;Shah Alam,;10,;MY,;40170,;(3.13021492958069 101.504173278809),;3.130214929580688,;101.50417327880859,
19235,;Taylor's Lakeside,;3835-153473,;03-53126858,;No. 1 Jalan Taylor's Ground Floor Lot G.1,;No. 1 Jalan Taylor's,;Subang Jaya,;10,;MY,;47500,;(3.06962490081787 101.601608276367),;3.069624900817871,;101.60160827636719,
19445,;1st Avenue,;12683-155244,;04-2633202,;182 Jalan Magazine Lot G-09 & G-10 Ground Floor,;182 Jalan Magazine,;Penang,;7,;MY,;10300,;(5.4130277633667 100.331741333008),;5.413027763366699,;100.33174133300781,
19451,;Ampang Point,;15051-157221,;03-42653828,;Jalan Mamanda 3 Lot G20A Ground Floor,;Jalan Mamanda 3,;Ampang,;10,;MY,;68000,;(3.15794205665588 101.751434326172),;3.157942056655884,;101.75143432617188,
20003,;Straits Quay,;15049-157222,;04-8901076,;Jalan Seri Tanjung Pinang Lot 3A-G-15 Unit No 3A-G-15 Block A Ground Floor,;Jalan Seri Tanjung Pinang Lot 3A-G-15,;Penang,;7,;MY,;10470,;(5.45949697494507 100.305793762207),;5.459496974945068,;100.30579376220703,
20382,;Desa Sri Hartamas,;15422-161324,;03-62115009,;No. 22 Jalan 25/70A Desa Sri Hartamas Ground Floor,;No. 22 Jalan 25/70A Desa Sri Hartamas,;Kuala Lumpur,;14,;MY,;59400,;(3.16236996650696 101.650382995605),;3.162369966506958,;101.65038299560547,
51994,;VIVA Home,;14975-156707,;03-92027808,;No. 85 Jalan Loke Yew LG-28A Lower Ground Floor,;No. 85 Jalan Loke Yew,;Kuala Lumpur,;14,;MY,;55200,;(3.12958693504334 101.711791992188),;3.129586935043335,;101.7117919921875,
66371,;Subang Parade,;15874-166185,;03-56121566,;No. 5 Jalan SS16/1 Lot G15J Ground Floor,;No. 5 Jalan SS16/1,;Subang Jaya,;10,;MY,;47500,;(3.08234906196594 101.585670471191),;3.082349061965942,;101.58567047119141,
66435,;JB Sentral,;15577-163164,;07-2212453,;Jalan Jim Quee Lot No. 1&2 3rd Floor JB Sentral,;Jalan Jim Quee,;Johor Bahru,;1,;MY,;80300,;(1.4641820192337 103.764183044434),;1.464182019233704,;103.76418304443359,
68402,;Gleneagles,;9168-152125,;03-42665689,;No. 286 Jalan Ampang Ground Floor (Garden Area),;No. 286 Jalan Ampang,;Kuala Lumpur,;14,;MY,;50450,;(3.16111397743225 101.72599029541),;3.161113977432251,;101.72599029541016,
68899,;1 Borneo -2F Enter Zone,;32543-169666,;088-447329,;Jalan Sulaman No. G-301 Ground Floor,;Jalan Sulaman,;Kota Kinabalu,;12,;MY,;88000,;(6.03514814376831 116.12850189209),;6.03514814376831,;116.12850189208984,
69037,;Johor Premium Outlets,;16340-164364,;07-5909143,;Jalan Premium Outlets Indahputra Lot 500,;Jalan Premium Outlets Indahputra,;Kulaijaya,;1,;MY,;81000,;(1.46286904811859 103.75456237793),;1.462869048118591,;103.75456237792969,
69699,;Jusco Bandaraya Melaka,;16226-169665,;06-2818769,;No. 2 Jalan Lagenda Taman 1-Lagenda Lot G89 & G90,;No. 2 Jalan Lagenda Taman 1-Lagenda,;Melaka,;4,;MY,;75400,;(2.21270704269409 102.247917175293),;2.212707042694092,;102.24791717529297,
69877,;Bandar Utama,;17238-162265,;03-77327846,;Lebuh Bandar Utama Bandar Utama Lot G139A Ground Floor,;Lebuh Bandar Utama Bandar Utama,;Petaling Jaya,;10,;MY,;47800,;(3.14967894554138 101.615875244141),;3.149678945541382,;101.61587524414063,
86968,;Jusco Rawang,;16719-174805,;03-60910927,;No. 1 Persiaran Anggun Taman Anggun Lot G62 Ground Floor,;No. 1 Persiaran Anggun Taman Anggun,;Rawang,;10,;MY,;48000,;(3.33535504341125 101.583831787109),;3.335355043411255,;101.58383178710938,
87030,;TTDI,;16850-176227,;03-77334557,;No. 20-G Jalan Tun Mohd Fuad 1 A & B Taman Tun Dr Ismail,;No. 20-G Jalan Tun Mohd Fuad 1,;Kuala Lumpur,;14,;MY,;60000,;(3.14176988601685 101.62915802002),;3.141769886016846,;101.62915802001953,
